,Protein,ENSG,UniProt,Source,Score,disease_id
176,SNRPD2,ENSG00000125743,P62316,uniprot_swissprot,0.4442606019520859,MONDO_0004975
177,WRAP53,ENSG00000141499,Q9BUR4,uniprot_swissprot,0.443500770651178,MONDO_0004975
178,ECHDC3,ENSG00000134463,Q96DC8,uniprot_swissprot,0.44231842670477106,MONDO_0004975
179,PTDSS1,ENSG00000156471,P48651,uniprot_swissprot,0.4421591550293404,MONDO_0004975
180,TAOK1,ENSG00000160551,Q7L7X3,uniprot_swissprot,0.4417929730107979,MONDO_0004975
181,CLU,ENSG00000120885,P10909,uniprot_swissprot,0.4412345733476237,MONDO_0004975
182,CLK2,ENSG00000176444,P49760,uniprot_swissprot,0.44075630946181343,MONDO_0004975
183,NRIP1,ENSG00000180530,P48552,uniprot_swissprot,0.43930141237339637,MONDO_0004975
184,NDUFB4,ENSG00000065518,O95168,uniprot_swissprot,0.43918574993978693,MONDO_0004975
185,SQLE,ENSG00000104549,Q14534,uniprot_swissprot,0.4357684677961332,MONDO_0004975
186,TRAPPC5,ENSG00000181029,Q8IUR0,uniprot_swissprot,0.4347519297404281,MONDO_0004975
187,SKP2,ENSG00000145604,Q13309,uniprot_swissprot,0.4339442590379273,MONDO_0004975
188,LRP1,ENSG00000123384,Q07954,uniprot_swissprot,0.43347199257398833,MONDO_0004975
189,PDGFRA,ENSG00000134853,P16234,uniprot_swissprot,0.4326008519484976,MONDO_0004975
190,SPI1,ENSG00000066336,P17947,uniprot_swissprot,0.43237683562166485,MONDO_0004975
191,GGPS1,ENSG00000152904,O95749,uniprot_swissprot,0.43179796129608056,MONDO_0004975
192,BTF3,ENSG00000145741,P20290,uniprot_swissprot,0.42908083402643404,MONDO_0004975
193,NISCH,ENSG00000010322,Q9Y2I1,uniprot_swissprot,0.4262949772360544,MONDO_0004975
194,MTMR12,ENSG00000150712,Q9C0I1,uniprot_swissprot,0.4253095044537733,MONDO_0004975
195,SNRK,ENSG00000163788,Q9NRH2,uniprot_swissprot,0.4242817279570006,MONDO_0004975
196,NUP160,ENSG00000030066,Q12769,uniprot_swissprot,0.4240722022491339,MONDO_0004975
197,PAPOLA,ENSG00000090060,P51003,uniprot_swissprot,0.4238803911593987,MONDO_0004975
198,TFCP2L1,ENSG00000115112,Q9NZI6,uniprot_swissprot,0.42366492363460645,MONDO_0004975
199,RANBP3,ENSG00000031823,Q9H6Z4,uniprot_swissprot,0.4224839941923149,MONDO_0004975
200,RXRG,ENSG00000143171,P48443,uniprot_swissprot,0.42222073174153657,MONDO_0004975
201,MTMR9,ENSG00000104643,Q96QG7,uniprot_swissprot,0.42112433554190787,MONDO_0004975
202,TTN,ENSG00000155657,Q8WZ42,uniprot_swissprot,0.4186207428726941,MONDO_0004975
203,QPCT,ENSG00000115828,Q16769,uniprot_swissprot,0.4183856166908221,MONDO_0004975
204,CALR,ENSG00000179218,P27797,uniprot_swissprot,0.41786713715005436,MONDO_0004975
205,RIPK1,ENSG00000137275,Q13546,uniprot_swissprot,0.41785408280350367,MONDO_0004975
206,AP3D1,ENSG00000065000,O14617,uniprot_swissprot,0.4174836045082134,MONDO_0004975
207,PDE7B,ENSG00000171408,Q9NP56,uniprot_swissprot,0.4151457710872963,MONDO_0004975
208,VPS28,ENSG00000160948,Q9UK41,uniprot_swissprot,0.413984577987935,MONDO_0004975
209,PIP5K1A,ENSG00000143398,Q99755,uniprot_swissprot,0.4138555996493766,MONDO_0004975
210,EPM2A,ENSG00000112425,O95278,uniprot_swissprot,0.4138182399750346,MONDO_0004975
211,SLC18A2,ENSG00000165646,Q05940,uniprot_swissprot,0.4119464064250153,MONDO_0004975
212,CHRNA4,ENSG00000101204,P43681,uniprot_swissprot,0.41150919072471903,MONDO_0004975
213,CHRNB2,ENSG00000160716,P17787,uniprot_swissprot,0.41081622849718524,MONDO_0004975
214,CLK3,ENSG00000179335,P49761,uniprot_swissprot,0.4099922479076303,MONDO_0004975
215,HTR2A,ENSG00000102468,P28223,uniprot_swissprot,0.40931080556481597,MONDO_0004975
216,MMP25,ENSG00000008516,Q9NPA2,uniprot_swissprot,0.40829225226449023,MONDO_0004975
217,CASS4,ENSG00000087589,Q9NQ75,uniprot_swissprot,0.4082423632095158,MONDO_0004975
218,DRD2,ENSG00000149295,P14416,uniprot_swissprot,0.4077381899992643,MONDO_0004975
219,EEF2,ENSG00000167658,P13639,uniprot_swissprot,0.4072700244946994,MONDO_0004975
220,CHRNA7,ENSG00000175344,P36544,uniprot_swissprot,0.40700924689478407,MONDO_0004975
