approvedSymbol,Druggable Family,ENSG
DPYSL4,No,ENSG00000151640
SCHIP1,No,ENSG00000151967
ESYT3,No,ENSG00000158220
SHC1,No,ENSG00000160691
SPSB3,No,ENSG00000162032
ATP1A1,Yes,ENSG00000163399
TMEM41A,No,ENSG00000163900
RHO,Yes,ENSG00000163914
DEPP1,No,ENSG00000165507
B2M,No,ENSG00000166710
GTSF1,No,ENSG00000170627
BFSP2,No,ENSG00000170819
PPM1D,No,ENSG00000170836
HAS2,No,ENSG00000170961
AQP4,No,ENSG00000171885
EIF2AK3,Yes,ENSG00000172071
OR10H4,No,ENSG00000176231
CLK3,Yes,ENSG00000179335
COA5,No,ENSG00000183513
NDUFA6,No,ENSG00000184983
PLK5,No,ENSG00000185988
ANXA4,No,ENSG00000196975
ZNF100,No,ENSG00000197020
KRT35,No,ENSG00000197079
OR51D1,No,ENSG00000197428
PLCG2,Yes,ENSG00000197943
CHSY3,No,ENSG00000198108
EGFL6,No,ENSG00000198759
ANKRD28,No,ENSG00000206560
TRAJ59,No,ENSG00000211832
IGHA2,No,ENSG00000211890
TAS2R50,No,ENSG00000212126
TRBV2,No,ENSG00000226660
SSU72P8,No,ENSG00000230268
C12orf75,No,ENSG00000235162
YAE1,No,ENSG00000241127
TRBV6-7,No,ENSG00000253188
EEF1AKMT4-ECE2,No,ENSG00000284917
PAF1,No,ENSG00000006712
MYH13,No,ENSG00000006788
EDC4,No,ENSG00000038358
THAP3,No,ENSG00000041988
TRIP13,No,ENSG00000071539
SNRPA,No,ENSG00000077312
ACER3,No,ENSG00000078124
ERO1B,No,ENSG00000086619
SLC22A17,Yes,ENSG00000092096
MZF1,No,ENSG00000099326
ZC3H7B,No,ENSG00000100403
CD40LG,No,ENSG00000102245
DRP2,No,ENSG00000102385
CLCN7,No,ENSG00000103249
HOMER2,No,ENSG00000103942
ETFB,No,ENSG00000105379
RASA4,No,ENSG00000105808
ZC3HAV1,No,ENSG00000105939
EZH2,No,ENSG00000106462
RAI1,No,ENSG00000108557
TNFAIP1,No,ENSG00000109079
PPP6R3,No,ENSG00000110075
ST3GAL4,No,ENSG00000110080
HBS1L,No,ENSG00000112339
QSOX1,No,ENSG00000116260
ATP5PB,No,ENSG00000116459
KCNQ4,Yes,ENSG00000117013
F3,Yes,ENSG00000117525
GJA8,No,ENSG00000121634
ATF1,Yes,ENSG00000123268
LSP1,No,ENSG00000130592
TRAF3,No,ENSG00000131323
ZSCAN5A,No,ENSG00000131848
EFR3A,No,ENSG00000132294
POPDC3,No,ENSG00000132429
LPIN3,No,ENSG00000132793
PPP1R3D,No,ENSG00000132825
